"","Team","Wins","WinPct","Season","WAR.Mean","wOBA.Mean","wRC.Mean","WAR.Spread","wOBA.Spread","wRC.Spread"
"1","Diamondbacks",82,0.50617284,2018,2,0.327,102.375,1.97122152121832,0.0437819271258946,29.349799220535
"2","Diamondbacks",93,0.574074074,2017,1.46363636363636,0.332454545454545,97.6363636363636,1.65061971833171,0.0337679245330939,22.1145776684644
"3","Diamondbacks",69,0.425925926,2016,1.875,0.3325,100.375,2.07691391939373,0.042721690710257,28.5003132814862
"4","Diamondbacks",79,0.487654321,2015,2.26666666666667,0.325,99.5555555555556,3.1264996401727,0.0542217668469038,37.0881083068115
"5","Diamondbacks",64,0.395061728,2014,1.62222222222222,0.324,100.555555555556,1.74483364377365,0.0392205303380768,26.9309817455246
"6","Diamondbacks",81,0.5,2013,1.88181818181818,0.325363636363636,101.363636363636,1.60550190396535,0.0348432855146375,24.187900807109
"7","Diamondbacks",81,0.5,2012,2.6875,0.343875,111.5,1.83881755484333,0.0232528800059569,15.6570385815089
"8","Diamondbacks",94,0.580246914,2011,3.52857142857143,0.335428571428571,106.285714285714,2.30847300591703,0.0292224636359151,20.3692111262258
"9","Diamondbacks",65,0.401234568,2010,2.725,0.341,103.75,1.77984750550634,0.0250428204710024,16.867127793433
"10","Diamondbacks",70,0.432098765,2009,1.78,0.3318,94.4,1.96965874088776,0.0345021738445565,23.1045930979583
"11","Diamondbacks",82,0.50617284,2008,1.33333333333333,0.339222222222222,97.8888888888889,1.0770329614269,0.0220328038262143,14.3478608548839
"12","Diamondbacks",90,0.555555556,2007,1.27777777777778,0.337,94,1.30074764825636,0.0271201032446412,17.4928556845359
"13","Diamondbacks",76,0.469135802,2006,1.2875,0.338,95.875,0.837406711222211,0.0169368575260331,11.1026058717248
"14","Diamondbacks",77,0.475308642,2005,1.81111111111111,0.342777777777778,101.666666666667,1.65033666599004,0.0468929039881776,30.9434968935316
"15","Diamondbacks",51,0.314814815,2004,0.242857142857143,0.324142857142857,87,0.916255318960719,0.0266797586909913,17.3301279087413
"16","Diamondbacks",84,0.518518519,2003,1.18888888888889,0.337666666666667,96.7777777777778,1.58464857653396,0.0325192250830182,21.1292319889873
"17","Diamondbacks",98,0.604938272,2002,2.12,0.3483,106,1.91299648602802,0.0355810498877016,23.137271518771
"18","Diamondbacks",92,0.567901235,2001,2.6,0.345222222222222,103.555555555556,2.45865817062885,0.0475388729824808,30.4389188010642
"19","Diamondbacks",85,0.524691358,2000,1.8375,0.34625,97.875,1.65091965712621,0.0439374555476304,28.3419804731931
"20","Diamondbacks",100,0.617283951,1999,2.48888888888889,0.346777777777778,97.8888888888889,2.48919888942429,0.0374458868828666,23.8035944998042
"21","Diamondbacks",65,0.401234568,1998,1.66666666666667,0.332444444444444,96.3333333333333,1.70367250374008,0.024088955514463,16.0857079421454
"22","Braves",90,0.555555556,2018,2.78,0.3367,109,1.30962250710314,0.0295599203126275,19.6694913225759
"23","Braves",72,0.444444444,2017,1.9875,0.34,106,2.22738636073762,0.0390640499692492,25.6849038486479
"24","Braves",68,0.419753086,2016,1.4875,0.316,94.875,2.38952326386906,0.0466292366899322,31.1422427855523
"25","Braves",67,0.413580247,2015,1.86666666666667,0.318,100.333333333333,1.04434987751551,0.029284808348357,20.1560578156213
"26","Braves",79,0.487654321,2014,2.1375,0.318625,102.25,1.93386179148651,0.0408094439350221,27.9067324186425
"27","Braves",96,0.592592593,2013,2.48,0.3279,108.7,1.79925910678071,0.03839400994947,26.8247398247712
"28","Braves",94,0.580246914,2012,3.8,0.335571428571429,110.714285714286,1.3735598518691,0.0201399862864662,13.4252782182752
"29","Braves",89,0.549382716,2011,1.83333333333333,0.322,102.555555555556,2.21754368615367,0.024279621084358,16.493264618558
"30","Braves",91,0.561728395,2010,1.94444444444444,0.337666666666667,107.333333333333,2.85924426689602,0.0315713477697738,21.0713075057055
"31","Braves",86,0.530864198,2009,2.45714285714286,0.346714285714286,110.857142857143,2.52972801097743,0.0297529510341091,20.111593434539
"32","Braves",72,0.444444444,2008,2.8875,0.35225,113.25,3.42988442120972,0.0480617162763521,31.458589560609
"33","Braves",84,0.518518519,2007,2.75,0.3508,109.2,2.04355354985161,0.0425905571172244,27.5430975422559
"34","Braves",79,0.487654321,2006,2.74444444444444,0.360111111111111,114.888888888889,1.79868779330316,0.0378465468849023,24.9421553020406
"35","Braves",90,0.555555556,2005,2.48333333333333,0.342666666666667,107.666666666667,2.73290831876737,0.0369676353126091,24.1936630821654
"36","Braves",96,0.592592593,2004,2.475,0.349666666666667,109.583333333333,2.63166901759735,0.0386483760292327,25.4038591675765
"37","Braves",101,0.62345679,2003,4.05555555555556,0.37,123,2.71804668425283,0.0473022198210613,31.04834939252
"38","Braves",101,0.62345679,2002,2.35,0.330625,99.625,3.01235550927936,0.058802180474634,38.6483690286075
"39","Braves",88,0.543209877,2001,2.34444444444444,0.333888888888889,100.777777777778,2.15529064809779,0.0381000145815079,24.6919915042194
"40","Braves",95,0.586419753,2000,2.3,0.351090909090909,104,2.64461717456421,0.0348237118798515,22.2710574513201
"41","Braves",103,0.635802469,1999,2.16,0.3449,99.9,2.87912023599803,0.0545699347422899,34.7577329525388
"42","Braves",106,0.654320988,1998,3.27,0.3514,112.1,2.50557156930088,0.0452012782513454,29.9052206516224
"43","Braves",101,0.62345679,1997,3.16666666666667,0.352444444444444,111.222222222222,1.55161206491829,0.0321990338019292,21.2766173167739
"44","Braves",96,0.592592593,1996,2.775,0.350625,111.375,2.01760112155854,0.0327803839426657,22.0514819715786
